,time,open,low,high,close,volume
0,2020-11-30 01:20:00,5.6e-07,5.6e-07,5.6e-07,5.6e-07,1438.92857142
1,2020-11-30 04:47:00,5.6e-07,5.6e-07,5.6e-07,5.6e-07,22418.81011756
2,2020-11-30 06:07:00,5.4e-07,5.4e-07,5.4e-07,5.4e-07,1657.22180428
3,2020-11-30 06:37:00,5.4e-07,5.4e-07,5.4e-07,5.4e-07,9470.255798
4,2020-11-30 07:32:00,5.4e-07,5.4e-07,5.4e-07,5.4e-07,1e-08
5,2020-11-30 09:35:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,2301.07712889
6,2020-11-30 09:38:00,5.4e-07,5.4e-07,5.4e-07,5.4e-07,9979.84667959
7,2020-11-30 12:58:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1530.25889677
8,2020-11-30 13:26:00,5.2e-07,5.2e-07,5.8e-07,5.8e-07,4064.06009447
9,2020-11-30 14:59:00,5.8e-07,5.8e-07,5.9e-07,5.9e-07,41626.18876537
10,2020-11-30 16:04:00,5.3e-07,5.2e-07,5.3e-07,5.2e-07,40306.75114132
11,2020-11-30 16:09:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,3440.65741892
12,2020-11-30 16:10:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,14612.08296569
13,2020-11-30 16:11:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,136736.07342702
14,2020-11-30 16:13:00,5e-07,5e-07,5.1e-07,5.1e-07,343938.11452462
15,2020-11-30 16:17:00,5.7e-07,5.7e-07,5.7e-07,5.7e-07,2125.49152542
16,2020-11-30 18:57:00,5.4e-07,5.4e-07,5.4e-07,5.4e-07,4774.52664634
17,2020-11-30 21:57:00,5.2e-07,5.2e-07,5.7e-07,5.7e-07,3625.45360735
18,2020-11-30 23:56:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,3522.81126735
19,2020-11-30 23:57:00,5.2e-07,5.2e-07,5.7e-07,5.7e-07,3234.19038609
20,2020-12-01 00:02:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1881.8505099
21,2020-12-01 00:03:00,5.1e-07,5.1e-07,5.7e-07,5.1e-07,14456.66845742
22,2020-12-01 00:04:00,5.8e-07,5.1e-07,5.8e-07,5.1e-07,7965.03575835
23,2020-12-01 00:05:00,5.1e-07,5.1e-07,5.8e-07,5.8e-07,2232.11462868
24,2020-12-01 00:19:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,16127.65563625
25,2020-12-01 00:20:00,5.1e-07,5.1e-07,5.2e-07,5.2e-07,4608.78572798
26,2020-12-01 00:21:00,5.7e-07,5.7e-07,5.8e-07,5.8e-07,2650.5116519
27,2020-12-01 00:23:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,980.76923076
28,2020-12-01 00:28:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,980.76923076
29,2020-12-01 00:29:00,5.2e-07,5.1e-07,5.2e-07,5.1e-07,20476.57093612
30,2020-12-01 00:30:00,5.1e-07,5.1e-07,5.6e-07,5.6e-07,2419.55462221
31,2020-12-01 00:32:00,5.6e-07,5.6e-07,5.6e-07,5.6e-07,37815.14071962
32,2020-12-01 00:53:00,5.2e-07,5.1e-07,5.2e-07,5.1e-07,3130.65313641
33,2020-12-01 00:54:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1020.40816327
34,2020-12-01 01:02:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,980.76923076
35,2020-12-01 01:10:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,10026.4607843
36,2020-12-01 01:18:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,6317.8328688
37,2020-12-01 01:40:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,13379.24674212
38,2020-12-01 01:54:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,2905.04471132
39,2020-12-01 02:22:00,5e-07,5e-07,5.4e-07,5.4e-07,2285.46814781
40,2020-12-01 06:20:00,5e-07,4.9e-07,5e-07,4.9e-07,34599.88897142
41,2020-12-01 06:21:00,4.6e-07,4.6e-07,4.6e-07,4.6e-07,11410.85994817
42,2020-12-01 06:22:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,13371.09473421
43,2020-12-01 06:23:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,29626.01449917
44,2020-12-01 06:56:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1254.5
45,2020-12-01 08:36:00,4.9e-07,4.9e-07,5e-07,5e-07,22039.042394
46,2020-12-01 09:35:00,5e-07,5e-07,5e-07,5e-07,61905.57605985
47,2020-12-01 10:35:00,5e-07,5e-07,5e-07,5e-07,9276.80798004
48,2020-12-01 11:42:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,1200.0
49,2020-12-01 11:43:00,5.4e-07,5.4e-07,5.4e-07,5.4e-07,1024.52640329
50,2020-12-01 12:00:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,2000.0
51,2020-12-01 13:28:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,5529.7226415
52,2020-12-01 13:42:00,4.7e-07,4.5e-07,4.7e-07,4.5e-07,80652.69469575
53,2020-12-01 13:43:00,4.6e-07,4.6e-07,5.3e-07,5.3e-07,2294.30198089
54,2020-12-01 13:44:00,4.6e-07,4.5e-07,5.2e-07,5.2e-07,7743.50893049
55,2020-12-01 14:19:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1075.7420175
56,2020-12-01 14:20:00,4.7e-07,4.7e-07,4.7e-07,4.7e-07,1075.74201751
57,2020-12-01 14:22:00,4.7e-07,4.7e-07,5.1e-07,5.1e-07,2511.95051586
58,2020-12-01 14:34:00,4.9e-07,4.9e-07,5.1e-07,5.1e-07,9000.0
59,2020-12-01 14:36:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,13916.61666351
60,2020-12-01 14:37:00,4.9e-07,4.9e-07,4.9e-07,4.9e-07,2138.08336302
61,2020-12-01 14:41:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,18639.25208017
62,2020-12-01 14:42:00,4.7e-07,4.7e-07,4.7e-07,4.7e-07,16353.37729334
63,2020-12-01 14:43:00,4.8e-07,4.8e-07,5.1e-07,5.1e-07,2343.54498369
64,2020-12-01 14:53:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,8176.68864667
65,2020-12-01 14:54:00,4.8e-07,4.7e-07,4.8e-07,4.7e-07,15644.99804891
66,2020-12-01 14:55:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,40430.21555186
67,2020-12-01 15:07:00,4.6e-07,4.6e-07,4.7e-07,4.7e-07,8176.68864667
68,2020-12-01 15:08:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,190075.765625
69,2020-12-01 15:09:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,568331.27597672
70,2020-12-01 15:19:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,40439.3253832
71,2020-12-01 15:23:00,4.8e-07,4.8e-07,4.8e-07,4.8e-07,195520.54660978
72,2020-12-01 15:25:00,5e-07,5e-07,5e-07,5e-07,6411.85
73,2020-12-01 15:31:00,5e-07,5e-07,5e-07,5e-07,3181.96508728
74,2020-12-01 16:52:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,10549.93887829
75,2020-12-01 17:01:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,7619.89285405
76,2020-12-01 17:02:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,3045.8076923
77,2020-12-01 17:10:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,22521.13945904
78,2020-12-01 17:16:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,6833.71753151
79,2020-12-01 17:19:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,3446.32692307
80,2020-12-01 17:31:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,2532.06080037
81,2020-12-01 17:44:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1969.32692708
82,2020-12-01 17:47:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,1540.9576923
83,2020-12-01 17:59:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,3000.0
84,2020-12-01 18:47:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,856.74038061
85,2020-12-01 18:48:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,2260.32020626
86,2020-12-01 19:05:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,23239.97332744
87,2020-12-01 19:06:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,3354.94176041
88,2020-12-01 19:18:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1150.86274509
89,2020-12-01 19:33:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,2850.97355812
90,2020-12-01 19:34:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,7149.02644188
91,2020-12-01 19:36:00,5e-07,4.9e-07,5e-07,4.9e-07,50001.61702697
92,2020-12-01 20:15:00,5e-07,5e-07,5e-07,5e-07,2809.35044782
93,2020-12-01 20:41:00,5e-07,5e-07,5e-07,5e-07,19437.68348346
94,2020-12-01 21:08:00,5e-07,5e-07,5e-07,5e-07,38858.56524557
95,2020-12-01 21:24:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,12338.40196078
96,2020-12-01 21:54:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1161.15593369
97,2020-12-01 21:57:00,5e-07,4.9e-07,5e-07,4.9e-07,44391.11703227
98,2020-12-01 22:01:00,4.9e-07,4.9e-07,4.9e-07,4.9e-07,1192.57420951
99,2020-12-01 23:43:00,4.9e-07,4.9e-07,5.1e-07,5.1e-07,12311.05652534
100,2020-12-01 23:53:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,4899.60778198
101,2020-12-01 23:55:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,970.0
102,2020-12-01 23:56:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.39221802
103,2020-12-02 00:06:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1000.0
104,2020-12-02 00:07:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,2000.0
105,2020-12-02 00:11:00,4.9e-07,4.9e-07,4.9e-07,4.9e-07,33510.78752866
106,2020-12-02 00:14:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,16586.47884615
107,2020-12-02 00:19:00,4.9e-07,4.9e-07,4.9e-07,4.9e-07,8759.10224438
108,2020-12-02 00:40:00,5e-07,5e-07,5e-07,5e-07,2141.52
109,2020-12-02 00:44:00,4.9e-07,4.9e-07,4.9e-07,4.9e-07,3419.36282176
110,2020-12-02 00:53:00,4.9e-07,4.9e-07,4.9e-07,4.9e-07,1080.40681268
111,2020-12-02 01:02:00,4.9e-07,4.9e-07,4.9e-07,4.9e-07,32203.65498352
112,2020-12-02 01:03:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,18531.27478583
113,2020-12-02 01:07:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,16000.0
114,2020-12-02 01:08:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,32.88346744
115,2020-12-02 01:11:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,3361.69230769
116,2020-12-02 01:14:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,2621.04354498
117,2020-12-02 01:15:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,8964.97563782
118,2020-12-02 01:21:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1000.0
119,2020-12-02 01:22:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1000.0
120,2020-12-02 02:03:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,22000.0
121,2020-12-02 02:05:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,152.31833081
122,2020-12-02 02:06:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,10220.51820765
123,2020-12-02 02:07:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,10000.0
124,2020-12-02 02:09:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,4766.19807692
125,2020-12-02 03:26:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,2757.52925378
126,2020-12-02 08:00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,3235.41147132
127,2020-12-02 08:51:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,7065.6888931
128,2020-12-02 08:52:00,5.2e-07,5.2e-07,5.3e-07,5.3e-07,47727.97038803
129,2020-12-02 08:53:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,22960.0
130,2020-12-02 08:55:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,15435.0
131,2020-12-02 08:56:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,7577.0
132,2020-12-02 09:34:00,5.2e-07,5.1e-07,5.2e-07,5.1e-07,103479.14875251
133,2020-12-02 10:10:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,2301.21568627
134,2020-12-02 10:59:00,5e-07,5e-07,5e-07,5e-07,1184.6867392
135,2020-12-02 12:17:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,3306.81140286
136,2020-12-02 13:48:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,9764.92822937
137,2020-12-02 13:49:00,5.2e-07,5.2e-07,5.3e-07,5.3e-07,1976.23864866
138,2020-12-02 14:04:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,78840.54427039
139,2020-12-02 14:06:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,6586.61191519
140,2020-12-02 14:11:00,5.2e-07,5.1e-07,5.2e-07,5.1e-07,146250.56290434
141,2020-12-02 14:15:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,3829.80178036
142,2020-12-02 14:16:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,14411.04892307
143,2020-12-02 14:24:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,9657.0880491
144,2020-12-02 14:49:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,3336.60377358
145,2020-12-02 15:01:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,8945.61708935
146,2020-12-02 15:03:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,10386.40384747
147,2020-12-02 15:08:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1907.01520815
