,time,open,low,high,close,volume
0,2020-11-30 00:06:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,34201.89409893
1,2020-11-30 09:20:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,309135.10667775
2,2020-11-30 09:34:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,60807.64754779
3,2020-11-30 13:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,5899.17898194
4,2020-11-30 13:37:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,2949.58949096
5,2020-11-30 13:49:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,43784.71575185
6,2020-11-30 15:46:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,5924.18001759
7,2020-11-30 23:13:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,65390.49315921
8,2020-12-01 00:23:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,389035.05993482
9,2020-12-01 08:48:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,20000.0
10,2020-12-01 09:25:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,15586.22222222
11,2020-12-01 09:51:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,65210.16666666
12,2020-12-01 12:13:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,7003.67146649
13,2020-12-01 12:18:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,9852.31366029
14,2020-12-01 13:51:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,77166.23542108
15,2020-12-01 14:26:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,4498.08390416
16,2020-12-01 16:51:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,25006.06378789
17,2020-12-01 18:58:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,3191.96594501
18,2020-12-01 20:15:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,17446.90277777
19,2020-12-01 21:01:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,68503.28078115
20,2020-12-01 21:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,5963.65394491
21,2020-12-01 21:31:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,284676.47557641
22,2020-12-01 21:32:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,165537.75237561
23,2020-12-01 21:34:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,117500.99534575
24,2020-12-02 00:19:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,126469.98327528
25,2020-12-02 04:28:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,144204.38432276
26,2020-12-02 04:41:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,2833.33333333
27,2020-12-02 09:39:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,44324.27122222
28,2020-12-02 09:45:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,75806.90416529
29,2020-12-02 18:13:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,6416.85381899
30,2020-12-02 21:44:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,19989.67919691
31,2020-12-02 22:38:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,28299.62971675
32,2020-12-03 01:51:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,178572.67357921
33,2020-12-03 09:37:00,1.9e-07,1.9e-07,2e-07,2e-07,592117.91052202
34,2020-12-03 09:45:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,5000.0
35,2020-12-03 11:46:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,16073.50045937
36,2020-12-03 13:33:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,2800.0
37,2020-12-03 13:42:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,24012.04206897
38,2020-12-03 15:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,16759.52317704
39,2020-12-03 17:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,7957.42634465
40,2020-12-03 17:30:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,28966.47854049
41,2020-12-03 19:03:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,46564.64394569
42,2020-12-03 21:49:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,5411.74061051
43,2020-12-03 23:13:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,100000.0
44,2020-12-03 23:17:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,66111.81432238
45,2020-12-03 23:18:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,33371.43137806
46,2020-12-04 00:56:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,5086.3951233
47,2020-12-04 01:00:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,5086.39512331
48,2020-12-04 08:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,13094.42053166
49,2020-12-04 09:00:00,1.8e-07,1.8e-07,2.1e-07,2.1e-07,714677.27933314
50,2020-12-04 09:01:00,2.2e-07,2.2e-07,2.3e-07,2.3e-07,253137.15148591
51,2020-12-04 09:02:00,2.2e-07,2.1e-07,2.2e-07,2.1e-07,21893.14136363
52,2020-12-04 09:03:00,2.1e-07,2e-07,2.1e-07,2e-07,293016.38507153
53,2020-12-04 09:06:00,2e-07,2e-07,2e-07,2e-07,28033.43568317
54,2020-12-04 09:08:00,2.1e-07,2.1e-07,2.1e-07,2.1e-07,310262.0273972
55,2020-12-04 09:09:00,2.2e-07,2.2e-07,2.4e-07,2.4e-07,21500.0
56,2020-12-04 09:10:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,208953.98317325
57,2020-12-04 09:12:00,2.3e-07,2.3e-07,2.3e-07,2.3e-07,5000.0
58,2020-12-04 09:13:00,2.3e-07,2.3e-07,2.4e-07,2.4e-07,458322.6161267
59,2020-12-04 09:14:00,2.4e-07,2.4e-07,2.4e-07,2.4e-07,49891.37064885
60,2020-12-04 09:20:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,41243.36296392
61,2020-12-04 09:21:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,105139.7918475
62,2020-12-04 09:24:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,15986.16987638
63,2020-12-04 09:25:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,15000.0
64,2020-12-04 09:26:00,2.7e-07,2.7e-07,2.7e-07,2.7e-07,176238.22768155
65,2020-12-04 09:28:00,2.7e-07,2.7e-07,2.7e-07,2.7e-07,33593.15789473
66,2020-12-04 09:33:00,2.4e-07,2.4e-07,2.4e-07,2.4e-07,5000.0
67,2020-12-04 09:44:00,2.4e-07,2.4e-07,2.4e-07,2.4e-07,53000.0
68,2020-12-04 09:58:00,2.4e-07,2.4e-07,2.4e-07,2.4e-07,11808.64791484
69,2020-12-04 10:26:00,2.3e-07,2.3e-07,2.3e-07,2.3e-07,31193.15217391
70,2020-12-04 10:30:00,2.2e-07,2.2e-07,2.2e-07,2.2e-07,5000.0
71,2020-12-04 10:31:00,2.3e-07,2.3e-07,2.4e-07,2.4e-07,116111.05569409
72,2020-12-04 10:33:00,2.1e-07,1.9e-07,2.1e-07,1.9e-07,227654.15615663
73,2020-12-04 11:31:00,2e-07,2e-07,2e-07,2e-07,23012.66832917
74,2020-12-04 11:49:00,2e-07,2e-07,2e-07,2e-07,631321.92440715
75,2020-12-04 12:30:00,2e-07,2e-07,2e-07,2e-07,14437.5
76,2020-12-04 12:57:00,2e-07,2e-07,2e-07,2e-07,5557.0573566
77,2020-12-04 13:14:00,2e-07,2e-07,2e-07,2e-07,254959.29529434
78,2020-12-04 14:35:00,2e-07,2e-07,2e-07,2e-07,250495.7605985
79,2020-12-04 14:52:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,25475.93394174
80,2020-12-04 15:08:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,52000.0
81,2020-12-04 17:18:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,50226.13065325
82,2020-12-04 18:10:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,24112.50820317
83,2020-12-04 21:47:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,5000.0
84,2020-12-04 21:54:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,180841.68526053
85,2020-12-04 22:21:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,5994.81370364
86,2020-12-04 22:22:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,62678.73477748
87,2020-12-05 02:51:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,59125.43157894
88,2020-12-05 03:01:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,53198.10526315
89,2020-12-05 03:06:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,47864.99473684
90,2020-12-05 03:23:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,43066.52631578
91,2020-12-05 03:25:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,26618.5
92,2020-12-05 03:31:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,29746.84341777
93,2020-12-05 05:47:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,70253.15658223
94,2020-12-05 07:36:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,3747.36842105
95,2020-12-05 08:34:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,103802.31358502
96,2020-12-05 08:35:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,70632.98970282
97,2020-12-05 09:02:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,52159.43069306
98,2020-12-05 09:06:00,2e-07,2e-07,2.1e-07,2.1e-07,197308.99068119
99,2020-12-05 09:08:00,2e-07,1.9e-07,2e-07,1.9e-07,91186.31053943
100,2020-12-05 09:10:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,10813.82910623
101,2020-12-05 11:51:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,38749.11052631
102,2020-12-05 12:16:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,66233.85263157
103,2020-12-05 13:00:00,1.8e-07,1.7e-07,1.8e-07,1.7e-07,440487.3513549
104,2020-12-05 14:05:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,14077.00526315
105,2020-12-05 15:01:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,16773.4939759
106,2020-12-05 15:32:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,19594.01496259
107,2020-12-05 21:45:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,122824.91806103
108,2020-12-06 01:08:00,1.9e-07,1.9e-07,1.9e-07,1.9e-07,17036.02242947
